date,title
2020-06-14T00:01:53-03:00,Removed section
2020-06-13T23:57:36-03:00,Added histogram code
2020-06-13T23:57:19-03:00,Fixed primes
2020-06-11T23:15:27-03:00,Added lecture 19 files
2020-06-11T23:14:52-03:00,Organized exercises
2020-06-08T19:20:55-03:00,Added more articles
2020-06-08T18:55:02-03:00,Added exercise
2020-06-08T18:54:10-03:00,Added lecture notes
2020-05-29T00:40:32-03:00,Added lecture notes
2020-05-28T00:38:21-03:00,Added prime number articles
2020-05-28T00:35:47-03:00,Added file dedicated to graphs
2020-05-28T00:34:30-03:00,Updated structure
2020-05-28T00:33:56-03:00,Added 5 more primes notebooks
2020-05-28T00:32:42-03:00,Added my lecture notes and article
2020-05-28T00:31:22-03:00,Added project planning
2020-05-28T00:29:50-03:00,Added articles on prime numbers
2020-05-28T00:27:38-03:00,Added exercise files
2020-05-28T00:27:03-03:00,Added exercise 10 files
2020-05-26T00:39:16-03:00,Added missing lecture material
2020-05-26T00:05:42-03:00,Added lecture notes
2020-05-26T00:04:44-03:00,Added exercises 1, 3 and 4
2020-05-01T21:02:30-03:00,Added lecture 7 notes
2020-05-01T21:01:30-03:00,Added execises 8 and 9 files
2020-05-01T20:59:51-03:00,Moved primes folder upp
2020-05-01T11:25:37-03:00,Using fixed size array
2020-05-01T11:25:15-03:00,Added usage
2020-05-01T11:25:01-03:00,Added argument to select algorithm
2020-04-28T21:33:02-03:00,Added lecture notes
2020-04-28T18:48:45-03:00,Added script to create data
2020-04-28T18:48:24-03:00,Removed old dataset
2020-04-28T18:48:01-03:00,Added exercise 6
2020-04-28T18:47:47-03:00,Renamed exercises
2020-04-28T18:46:47-03:00,Adjusted parameters
2020-04-28T18:46:18-03:00,Added tests
2020-04-28T18:46:08-03:00,Added generator os primes
2020-04-28T18:45:57-03:00,Renamed to algo
2020-04-28T18:45:44-03:00,Added files with calculated primes
2020-04-28T18:38:04-03:00,Added results for 11-prime horizontal visibility
