,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
"26","Arabica","nucoffee","Brazil","fazenda kaquend","","","002/1251/0073","nucoffee","1250m","south of minas","Ralph Junqueira",3,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"33","Arabica","nucoffee","Brazil","fazenda recreio","","","002/1251/0068","nucoffee","1300","vale da grama","Homero Texeira de Macedo Junior",29,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1300,1300,1300
"42","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","cocarive","002/1352/0045","","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","",8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,"",2,"January 4th, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",12,12,12
"43","Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","","cocarive","002/1352/0045","","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira",300,"60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","",8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,"",3,"January 4th, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",12,12,12
"46","Arabica","nucoffee","Brazil","fazenda kaquend","","","002/1251/0071","nucoffee","1250m","south of minas","Ralph Junqueira",7,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,"Blue-Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"74","Arabica","nucoffee","Brazil","fazenda serra de três barras","","","002/1251/0072","nucoffee","1250m","south of minas","José Vagner Ribeiro Junqueira",5,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,"Blue-Green",1,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1250,1250,1250
"103","Arabica","nucoffee","Brazil","sitío são geraldo","","","002/1251/0242","nucoffee","1100m","grama valley","Idalina M. De Andrade Ferreira",31,"60 kg","NUCOFFEE","2012","February 29th, 2012","NUCOFFEE","Mundo Novo","Natural / Dry",8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,"Green",3,"February 28th, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"113","Arabica","nucoffee","Brazil","fazenda grota funda","","","002/1251/0070","nucoffee","1200m","south of minas","Glaucio Carneiro Pinto",4,"60 kg","NUCOFFEE","2011","December 23rd, 2011","NUCOFFEE","Bourbon","Natural / Dry",8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,"Green",2,"December 22nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1200,1200,1200
"114","Arabica","nucoffee","Brazil","sitio claro","","","002/1251/0066","nucoffee","1000 m","south of minas","Ricardo Luiz Ferreira",10,"60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Catuai","Natural / Dry",8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,"Green",2,"December 2nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1000,1000,1000
"157","Arabica","nucoffee","Brazil","fazenda recreio","","","002/1251/0069","nucoffee","1300m","vale da grama","Homero Texeira de Macedo Junior",37,"60 kg","NUCOFFEE","2011","December 23rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0,"Green",2,"December 22nd, 2012","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1300,1300,1300
