Date,venue,City,State,Country,Recording Surfaced
??/??/1987,house party,Aberdeen,WA,United States,N
03/??/1987,17 Nussbaum Road,Raymond,WA,United States,Y
18/4/1987,Community World Theater,Tacoma,WA,United States,N
1/5/1987,GESCCO,Olympia,WA,United States,N
6/5/1987,KAOS Olympia Community Radio,Olympia,WA,United States,Y
27/6/1987,Community World Theater,Tacoma,WA,United States,N
9/8/1987,Community World Theater,Tacoma,WA,United States,N
??/??/1988,The Witch House (house party),Olympia,WA,United States,N
23/1/1988,Community World Theater,Tacoma,WA,United States,Y
03/??/1988,The Caddyshack (house party),Olympia,WA,United States,N
19/3/1988,Community World Theater,Tacoma,WA,United States,Y
10/4/1988,The Central Tavern,Seattle,WA,United States,N
24/4/1988,The Vogue (Sub Pop Sunday),Seattle,WA,United States,N
14/5/1988,The Glass House (house party),Olympia,WA,United States,N
21/5/1988,The Evergreen State College,Olympia,WA,United States,N
27/5/1988,The Vogue,Seattle,WA,United States,N
2/6/1988,The Central Tavern (Toe Jam '88),Seattle,WA,United States,N
17/6/1988,Hal Holmes Community Center,Ellensburg,WA,United States,N
3/7/1988,The Vogue (Sub Pop Sunday),Seattle,WA,United States,N
23/7/1988,The Central Tavern,Seattle,WA,United States,N
30/7/1988,Squid Row Tavern,Seattle,WA,United States,N
20/8/1988,Capitol Lake Park (Capitol Lake Jam),Olympia,WA,United States,N
29/8/1988,The Vogue,Seattle,WA,United States,N
10/??/1988,birthday party,Bainbridge Island,WA,United States,N
28/10/1988,Union Station,Seattle,WA,United States,N
30/10/1988,"Dorm K208, The Evergreen State College (dorm party)",Olympia,WA,United States,Y
23/11/1988,Speedy O'Tubbs Rhythmic Underground,Bellingham,WA,United States,N
1/12/1988,The Underground,Seattle,WA,United States,N
21/12/1988,Eagles Hall/FoE Aerie 252,Hoquiam,WA,United States,Y
28/12/1988,The Underground,Seattle,WA,United States,Y
6/1/1989,Satyricon,Portland,OR,United States,N
21/1/1989,Satyricon,Portland,OR,United States,N
02/??/1989,"Dorm K208, The Evergreen State College (dorm party)",Olympia,WA,United States,Y
10/2/1989,Covered Wagon Saloon,San Francisco,CA,United States,N
11/2/1989,Marsugi's,San Jose,CA,United States,N
25/2/1989,"East Ballroom, Husky Union Building, University of Washington",Seattle,WA,United States,Y
1/4/1989,Reko/Muse,Olympia,WA,United States,N
7/4/1989,Annex Theatre,Seattle,WA,United States,N
